Mission Start:  2022-01-20T22:54:35.501Z
Mission Stop :  2022-01-20T23:09:39.502Z
Time : 2022-01-20 22:54:50.743000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.845000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.947000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.050000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.163000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.266000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.369000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.473000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.575000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.678000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.784000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.894000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.998000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.103000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.206000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.311000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.414000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.518000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.621000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.724000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.826000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.930000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.037000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.140000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.244000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.348000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.452000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.558000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.662000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.767000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.870000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.982000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.086000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.189000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.293000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.397000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.502000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.607000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.718000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.825000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.930000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.036000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.141000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.247000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.351000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.454000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.558000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.669000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.773000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.877000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.982000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.092000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.195000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.299000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.403000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.507000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.610000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.717000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.827000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.931000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.035000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.138000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.243000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.348000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.451000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.556000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.660000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.764000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.866000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.970000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.073000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.176000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.279000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.383000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.486000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.590000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.694000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.798000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.900000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.007000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.111000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.216000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.319000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.422000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.528000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.631000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.734000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.837000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.941000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.044000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.149000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.258000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.361000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.463000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.567000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:00.672000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:00.777000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:00.885000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:00.989000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:01.094000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:01.199000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:01.305000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:01.408000+00:00 	 14 : 38 	 observations/state
Time : 2022-01-20 22:55:01.514000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:01.617000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:01.721000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:01.824000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:01.928000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.033000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.137000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.239000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.342000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.444000+00:00 	 14 : 37 	 observations/state
Time : 2022-01-20 22:55:02.547000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:02.649000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:02.753000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:02.865000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:02.969000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.072000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.177000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.280000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.383000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.487000+00:00 	 14 : 36 	 observations/state
Time : 2022-01-20 22:55:03.594000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:03.698000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:03.802000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:03.906000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.010000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.114000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.217000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.321000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.425000+00:00 	 14 : 35 	 observations/state
Time : 2022-01-20 22:55:04.528000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:04.631000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:04.744000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:04.847000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:04.950000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.054000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.157000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.261000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.364000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.468000+00:00 	 14 : 34 	 observations/state
Time : 2022-01-20 22:55:05.571000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:05.675000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:05.782000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:05.886000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:05.991000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:06.094000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:06.198000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:06.300000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:06.403000+00:00 	 14 : 33 	 observations/state
Time : 2022-01-20 22:55:06.505000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:06.609000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:06.712000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:06.816000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:06.919000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.025000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.133000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.237000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.341000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.447000+00:00 	 14 : 32 	 observations/state
Time : 2022-01-20 22:55:07.549000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:07.652000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:07.754000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:07.857000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:07.962000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.068000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.173000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.279000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.382000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.485000+00:00 	 14 : 31 	 observations/state
Time : 2022-01-20 22:55:08.589000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:08.693000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:08.796000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:08.899000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.002000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.105000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.219000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.323000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.426000+00:00 	 14 : 30 	 observations/state
Time : 2022-01-20 22:55:09.529000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:09.633000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:09.735000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:09.838000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:09.942000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.045000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.148000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.252000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.356000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.461000+00:00 	 14 : 29 	 observations/state
Time : 2022-01-20 22:55:10.564000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:10.667000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:10.770000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:10.873000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:10.976000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.081000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.185000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.288000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.392000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.496000+00:00 	 14 : 28 	 observations/state
Time : 2022-01-20 22:55:11.603000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:11.706000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:11.811000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:11.916000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.020000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.123000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.226000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.329000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.432000+00:00 	 14 : 27 	 observations/state
Time : 2022-01-20 22:55:12.540000+00:00 	 14 : 26 	 observations/state
