Mission Start:  2022-03-28T23:01:58.340Z
Mission Stop :  2022-03-28T23:19:02.342Z
Time : 2022-03-28 23:04:12.082000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:12.191000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:12.297000+00:00 	 14 : 50 	 observations/state
Time : 2022-03-28 23:04:12.406000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:12.514000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:12.628000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:12.735000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:12.841000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:12.955000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:13.061000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:13.167000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:13.272000+00:00 	 14 : 49 	 observations/state
Time : 2022-03-28 23:04:13.387000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:13.496000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:13.604000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:13.715000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:13.825000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:13.938000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:14.051000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:14.162000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:14.275000+00:00 	 14 : 48 	 observations/state
Time : 2022-03-28 23:04:14.392000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:14.499000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:14.608000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:14.713000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:14.818000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:14.925000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:15.031000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:15.146000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:15.255000+00:00 	 14 : 47 	 observations/state
Time : 2022-03-28 23:04:15.363000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.467000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.572000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.676000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.788000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.895000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:15.895000+00:00 	 14 : 46 	 observations/events/player/location
Time : 2022-03-28 23:04:16.008000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:16.113000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:16.113000+00:00 	 14 : 46 	 observations/events/player/location
Time : 2022-03-28 23:04:16.219000+00:00 	 14 : 46 	 observations/state
Time : 2022-03-28 23:04:16.340000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.452000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.563000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.673000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.781000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.886000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:16.886000+00:00 	 14 : 45 	 observations/events/player/location
Time : 2022-03-28 23:04:16.995000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:17.110000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:17.110000+00:00 	 14 : 45 	 observations/events/player/location
Time : 2022-03-28 23:04:17.217000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:17.326000+00:00 	 14 : 45 	 observations/state
Time : 2022-03-28 23:04:17.438000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:17.550000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:17.653000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:17.653000+00:00 	 14 : 44 	 observations/events/player/location
Time : 2022-03-28 23:04:17.758000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:17.865000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:17.865000+00:00 	 14 : 44 	 observations/events/player/location
Time : 2022-03-28 23:04:17.972000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:18.085000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:18.190000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:18.294000+00:00 	 14 : 44 	 observations/state
Time : 2022-03-28 23:04:18.405000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:18.514000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:18.626000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:18.732000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:18.836000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:18.948000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:19.063000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:19.173000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:19.281000+00:00 	 14 : 43 	 observations/state
Time : 2022-03-28 23:04:19.390000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:19.496000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:19.603000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:19.713000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:19.824000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:19.930000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:20.037000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:20.142000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:20.249000+00:00 	 14 : 42 	 observations/state
Time : 2022-03-28 23:04:20.356000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.465000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.569000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.673000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.780000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.883000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:20.986000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:21.062000+00:00 	 14 : 41 	 observations/events/player/door
Time : 2022-03-28 23:04:21.094000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:21.201000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:21.307000+00:00 	 14 : 41 	 observations/state
Time : 2022-03-28 23:04:21.414000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:21.414000+00:00 	 14 : 40 	 observations/events/player/location
Time : 2022-03-28 23:04:21.526000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:21.638000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:21.638000+00:00 	 14 : 40 	 observations/events/player/location
Time : 2022-03-28 23:04:21.744000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:21.848000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:21.952000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:22.060000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:22.166000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:22.276000+00:00 	 14 : 40 	 observations/state
Time : 2022-03-28 23:04:22.386000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:22.489000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:22.598000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:22.707000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:22.820000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:22.930000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:23.040000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:23.148000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:23.148000+00:00 	 14 : 39 	 observations/events/player/location
Time : 2022-03-28 23:04:23.257000+00:00 	 14 : 39 	 observations/state
Time : 2022-03-28 23:04:23.368000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:23.368000+00:00 	 14 : 38 	 observations/events/player/location
Time : 2022-03-28 23:04:23.484000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:23.591000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:23.696000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:23.805000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:23.914000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:24.022000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:24.126000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:24.233000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:24.338000+00:00 	 14 : 38 	 observations/state
Time : 2022-03-28 23:04:24.443000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:24.559000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:24.668000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:24.774000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:24.818000+00:00 	 14 : 37 	 observations/events/player/rubble_collapse
Time : 2022-03-28 23:04:24.879000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:24.986000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:25.099000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:25.205000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:25.213000+00:00 	 14 : 37 	 observations/events/player/tool_used
Time : 2022-03-28 23:04:25.312000+00:00 	 14 : 37 	 observations/state
Time : 2022-03-28 23:04:25.423000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:25.445000+00:00 	 14 : 36 	 observations/events/player/triage
Time : 2022-03-28 23:04:25.528000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:25.638000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:25.750000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:25.867000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:25.978000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:26.083000+00:00 	 14 : 36 	 observations/state
Time : 2022-03-28 23:04:26.187000+00:00 	 14 : 36 	 observations/state
